nazwa,kategoria
"Mleko UHT 3,2%",nabiał
Mleko UHT 2%,nabiał
"Mleko UHT 0,5%",nabiał
"Mleko świeże 3,8%",nabiał
Mleko pełnotłuste,nabiał
Mleko odtłuszczone,nabiał
Mleko półtłuste,nabiał
Mleko bez laktozy,nabiał
Mleko kokosowe,nabiał
Mleko owsiane,nabiał
Mleko sojowe,nabiał
Mleko migdałowe,nabiał
Mleko ryżowe,nabiał
Napój owsiany,nabiał
Napój sojowy Alpro,nabiał
Jogurt naturalny,nabiał
Jogurt grecki 2%,nabiał
Jogurt grecki 10%,nabiał
Jogurt truskawkowy,nabiał
Jogurt malinowy,nabiał
Jogurt bananowy,nabiał
Jogurt pitny naturalny,nabiał
Jogurt pitny owocowy,nabiał
Jogurt waniliowy,nabiał
Jogurt borówkowy,nabiał
Jogurt brzoskwiniowy,nabiał
Jogurt wiśniowy,nabiał
Skyr naturalny,nabiał
Skyr truskawkowy,nabiał
Skyr waniliowy,nabiał
Ser żółty gouda,nabiał
Ser żółty edamski,nabiał
Ser żółty cheddar,nabiał
Ser żółty ementaler,nabiał
Ser żółty tylżycki,nabiał
Ser żółty radamer,nabiał
Ser brie,nabiał
Ser camembert,nabiał
Ser pleśniowy niebieski,nabiał
Ser feta,nabiał
Ser mozzarella kulka,nabiał
Ser mozzarella tarta,nabiał
Ser parmezan tarty,nabiał
Ser grana padano,nabiał
Ser pecorino,nabiał
Ser halloumi,nabiał
Ser ricotta,nabiał
Ser mascarpone,nabiał
Ser kozi twardy,nabiał
Ser kozi miękki,nabiał
Twaróg półtłusty,nabiał
Twaróg tłusty,nabiał
Twaróg chudy,nabiał
Serek wiejski,nabiał
Serek homogenizowany waniliowy,nabiał
Serek do smarowania ziołowy,nabiał
Serek fromage,nabiał
Masło extra 82%,nabiał
Masło śmietankowe,nabiał
Masło klarowane,nabiał
Masło czosnkowe,nabiał
Masło roślinne,nabiał
Margaryna,nabiał
Śmietana 18%,nabiał
Śmietana 12%,nabiał
Śmietana 30%,nabiał
Śmietana kwaśna,nabiał
Śmietanka do kawy 30%,nabiał
Śmietanka UHT,nabiał
Śmietanka do ubijania,nabiał
Kefir naturalny,nabiał
Kefir owocowy,nabiał
Maślanka naturalna,nabiał
Ayran,nabiał
Lassi mango,nabiał
Jogurt do picia activia,nabiał
Napój fermentowany kefirowy,nabiał
Mleko zagęszczone słodzone,nabiał
Mleko w proszku,nabiał
Ser topiony plastry,nabiał
Ser topiony w trójkątach,nabiał
Twaróg ziarnisty,nabiał
Quark naturalny,nabiał
Filet z kurczaka,mięso surowe
Pierś z kurczaka bez kości,mięso surowe
Podudzia z kurczaka,mięso surowe
Skrzydełka kurczaka,mięso surowe
Nóżki kurczaka,mięso surowe
Udziec z kurczaka,mięso surowe
Kurczak cały,mięso surowe
Kurczak zagrodowy,mięso surowe
Kurczak ekologiczny,mięso surowe
Filet z indyka,mięso surowe
Udziec z indyka,mięso surowe
Pierś z indyka,mięso surowe
Mięso mielone wołowe,mięso surowe
Mięso mielone wieprzowe,mięso surowe
Mięso mielone mieszane,mięso surowe
Schab wieprzowy bez kości,mięso surowe
Schab z kością,mięso surowe
Karkówka wieprzowa,mięso surowe
Łopatka wieprzowa,mięso surowe
Golonka wieprzowa,mięso surowe
Żeberka wieprzowe,mięso surowe
Boczek surowy,mięso surowe
Boczek wędzony surowy,mięso surowe
Polędwica wieprzowa,mięso surowe
Szynka surowa wieprzowa,mięso surowe
Antrykot wołowy,mięso surowe
Polędwica wołowa,mięso surowe
Rostbef,mięso surowe
Wołowina na gulasz,mięso surowe
Żeberka wołowe,mięso surowe
Udziec wołowy,mięso surowe
Stek ribeye,mięso surowe
Stek t-bone,mięso surowe
Comber jagnięcy,mięso surowe
Udziec jagnięcy,mięso surowe
Kotlet jagnięcy,mięso surowe
Kiełbasa surowa biała,mięso surowe
Kiełbasa surowa czosnkowa,mięso surowe
Kaszanka,mięso surowe
Salceson surowy,mięso surowe
Wątroba wieprzowa,mięso surowe
Wątroba wołowa,mięso surowe
Wątroba drobiowa,mięso surowe
Serce wołowe,mięso surowe
Flaki wołowe,mięso surowe
Ozorki wołowe,mięso surowe
Mięso na żeberka,mięso surowe
Gulasz wieprzowy krojony,mięso surowe
Sznytloki wieprzowe,mięso surowe
